[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 00:00:00, steps=0 (0s)
[]
Time = 2017-08-25 08:34:00, delta t in [0.33441747, 0.33442007], steps=359 (1s)
Time = 2017-08-25 08:36:00, delta t in [0.33442008, 0.33442267], steps=359 (1s)
Time = 2017-08-25 08:38:00, delta t in [0.33442268, 0.33442525], steps=359 (1s)
Time = 2017-08-25 08:40:00, delta t in [0.33442525, 0.33442781], steps=359 (1s)
Time = 2017-08-25 08:42:00, delta t in [0.33442782, 0.33443036], steps=359 (1s)
Time = 2017-08-25 08:44:00, delta t in [0.33443037, 0.33443290], steps=359 (1s)
Time = 2017-08-25 08:46:00, delta t in [0.33443291, 0.33443542], steps=359 (1s)
Time = 2017-08-25 08:48:00, delta t in [0.33443543, 0.33443793], steps=359 (1s)
Time = 2017-08-25 08:50:00, delta t in [0.33443793, 0.33444042], steps=359 (1s)
Time = 2017-08-25 08:52:00, delta t in [0.33444042, 0.33444289], steps=359 (1s)
Time = 2017-08-25 08:54:00, delta t in [0.33444290, 0.33444535], steps=359 (1s)
Time = 2017-08-25 08:56:00, delta t in [0.33444536, 0.33444780], steps=359 (1s)
Time = 2017-08-25 08:58:00, delta t in [0.33444780, 0.33445023], steps=359 (1s)
Time = 2017-08-25 09:00:00, delta t in [0.33445023, 0.33445264], steps=359 (1s)
Time = 2017-08-25 09:02:00, delta t in [0.33445265, 0.33445504], steps=359 (1s)
Time = 2017-08-25 09:04:00, delta t in [0.33445504, 0.33445742], steps=359 (1s)
Time = 2017-08-25 09:06:00, delta t in [0.33445743, 0.33445979], steps=359 (1s)
Time = 2017-08-25 09:08:00, delta t in [0.33445979, 0.33446214], steps=359 (1s)
Time = 2017-08-25 09:10:00, delta t in [0.33446215, 0.33446448], steps=359 (1s)
Time = 2017-08-25 09:12:00, delta t in [0.33446448, 0.33446680], steps=359 (1s)
Time = 2017-08-25 09:14:00, delta t in [0.33446680, 0.33446911], steps=359 (1s)
Time = 2017-08-25 09:16:00, delta t in [0.33446911, 0.33447140], steps=359 (1s)
Time = 2017-08-25 09:18:00, delta t in [0.33447140, 0.33447368], steps=359 (1s)
Time = 2017-08-25 09:20:00, delta t in [0.33447368, 0.33447594], steps=359 (1s)
Time = 2017-08-25 09:22:00, delta t in [0.33447594, 0.33447819], steps=359 (1s)
